"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923979437,0.0600016226225293,-40.3775620375422,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.2019553477959,0.0724172021789734,44.2153970527958,0,0,"FAM46C","54855","family with sequence similarity 46 member C"
"ENSG00000159176",5692.46278267679,-2.31373756502274,0.0575533670062193,-40.2016021890208,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137022665,0.0538449081882758,-38.2511817649474,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801937252128,0.043167992427689,-43.7365572578785,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200671343,0.0439354376987161,-37.5503714797779,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833210247,0.0690717578386363,48.4207791542793,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794573896,0.0617086157991176,38.7674867562524,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83225777686043,0.0388966420807906,47.1058085953723,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649933867,0.0419165003014058,-43.9933316493224,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046257414,0.0552681294721833,41.0015769344008,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.2625254655062,0.055218331780371,40.9741727530871,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832560139,0.0757850358927501,-42.1726834057901,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295762947,0.0543254355347474,38.2834106557547,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810356449,0.0505768637235117,-38.3261823857096,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205040474,0.046297344047575,44.006024369587,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949490813,0.0435953850773952,44.7421095477263,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169445142,0.0653981305372814,38.5901198355009,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311453817,0.0865185437332423,44.5945221458431,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774842293,0.0581377324825195,-41.396312612408,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912748515,0.0696221041120248,-42.0008726363686,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576629812,0.0404435492370149,-52.9712601073446,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041301014,0.0670975525064662,37.7738131769543,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.3389311783382,0.0358590282736648,-37.3387468316179,3.86092569223942e-305,2.37093011884269e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567973,0.0447581305579455,37.2705368808929,4.92682862820015e-304,2.90446401289655e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073535915,0.0488625148277655,36.9471514456986,8.09245147080036e-299,4.58717499140984e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005946,0.0550460861441811,36.8352635416896,5.03528376766468e-297,2.74851896917933e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702361364,0.069361389987918,36.690974965423,1.01727936840737e-294,5.35452261842422e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.1480867076023,0.0589063487528439,-36.4661323113935,3.81878873947055e-291,1.940734773873e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656939631,0.121636384894607,36.4540311950107,5.93859387513722e-291,2.91743321772574e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084197777,0.0608219613791905,-36.2808234384358,3.24655084270783e-288,1.54347310709123e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600345087,0.0694013576274447,36.2707026131061,4.68802970841413e-288,2.15913068258148e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
